customer_id,age,income,region,employment_status,credit_score
A-00062,28,55726.19,South,Self-Employed,693
A-00063,41,49650.19,East,Employed,639
A-00064,19,56778.9,North,Employed,632
A-00065,21,59325.92,East,Employed,697
A-00066,41,68491.32,North,Employed,734
A-00067,26,60451.12,West,Employed,679
A-00068,56,89394.56,South,Self-Employed,487
A-00069,49,51742.67,East,Self-Employed,763
A-00070,48,59581.79,North,Unemployed,774
A-00071,65,55152.93,North,Employed,603
A-00072,26,38121.92,East,Employed,675
A-00073,25,37527.15,East,Self-Employed,609
A-00074,53,26564.36,West,Retired,630
A-00075,20,26166.37,North,Employed,666
A-00076,66,46918.91,North,Employed,763
A-00077,29,48796.92,South,Unemployed,737
A-00078,49,26913.11,North,Employed,684
A-00079,36,24315.14,West,Employed,714
A-00080,46,57836.77,West,Self-Employed,588
A-00081,55,20541.31,South,Employed,712
A-00082,74,64719.93,North,Employed,697
A-00083,47,19639.93,North,Employed,589
A-00084,29,26739.01,North,Self-Employed,647
A-00085,46,53931.77,East,Self-Employed,792
A-00086,44,28615.75,North,Self-Employed,613
A-00087,25,63662.77,East,Employed,647
A-00088,22,56987.19,West,Employed,700
A-00089,23,32847.23,North,Unemployed,706
A-00090,64,35405.89,North,Employed,721
A-00091,45,42901.23,East,Employed,524
A-00092,57,55046.76,North,Employed,804
A-00093,27,77668.36,South,Self-Employed,609
A-00094,71,24862.56,South,Retired,669
A-00095,40,50362.75,South,Employed,560
A-00096,38,33596.41,West,Retired,746
A-00097,48,80351.11,North,Employed,748
A-00098,65,74593.47,West,Self-Employed,669
A-00099,25,68122.45,South,Self-Employed,720
A-00100,50,70702.96,East,Employed,805
A-00101,46,51657.18,North,Employed,683
A-00102,58,43080.5,West,Employed,661
A-00103,28,39669.35,South,Employed,661
A-00104,19,42281.46,East,Employed,683
A-00105,18,44089.88,South,Retired,694
A-00106,67,48760.01,South,Unemployed,733
A-00107,28,45692.3,South,Self-Employed,676
A-00108,64,55021.54,East,Self-Employed,696
A-00109,38,80904.95,East,Employed,767
A-00110,64,58022.81,East,Employed,766
A-00111,70,16888.13,West,Employed,774
A-00112,61,39664.18,South,Self-Employed,671
A-00113,41,36308.46,West,Employed,766
A-00114,69,84835.11,West,Retired,736
A-00115,27,56092.47,East,Employed,747
A-00116,49,44963.82,South,Employed,673
A-00117,51,36963.28,West,Employed,662
A-00118,39,69664.97,East,Employed,709
A-00119,63,22996.57,West,Self-Employed,593
A-00120,57,29933.36,East,Employed,637
A-00121,30,17057.08,North,Employed,703
A-00122,19,103098.86,South,Employed,587
A-00123,67,60619.82,South,Employed,664
A-00124,63,40137.6,East,Employed,744
A-00125,36,23103.53,North,Employed,691
A-00126,27,53697.09,North,Employed,760
A-00127,56,41661.46,North,Employed,752
A-00128,63,34234.84,West,Employed,759
A-00129,47,60729.51,North,Employed,562
A-00130,69,43373.57,North,Employed,650
A-00131,41,54955.65,North,Employed,606
A-00132,19,37911.38,West,Unemployed,712
A-00133,64,49014.46,North,Employed,659
A-00134,49,72669.5,East,Employed,641
A-00135,20,31220.67,South,Employed,760
A-00136,41,55336.28,North,Unemployed,661
A-00137,58,30218.86,North,Unemployed,724
A-00138,49,47271.0,North,Employed,567
A-00139,52,74234.16,North,Self-Employed,707
A-00140,25,34017.82,North,Unemployed,665
A-00141,50,40976.44,South,Employed,657
A-00142,39,32527.26,East,Self-Employed,666
A-00143,48,69714.85,East,Employed,770
A-00144,30,57904.04,South,Employed,677
A-00145,54,33021.61,East,Employed,734
A-00146,56,56877.96,South,Employed,848
A-00147,31,59631.18,West,Employed,724
A-00148,64,65486.74,West,Employed,718
A-00149,21,53357.58,South,Self-Employed,742
A-00150,26,24062.42,West,Retired,654
A-00151,54,88277.67,West,Unemployed,654
A-00152,47,52935.02,North,Self-Employed,640
A-00153,68,32576.59,South,Employed,649
A-00154,65,67420.22,South,Unemployed,674
A-00155,33,80089.4,South,Employed,745
A-00156,58,61582.04,North,Self-Employed,746
A-00157,24,46807.29,East,Employed,671
A-00158,20,82541.69,South,Employed,850
A-00159,51,52638.88,West,Self-Employed,676
A-00160,30,12000,South,Employed,649
A-00161,33,57202.56,North,Self-Employed,510
A-00162,39,47781.0,North,Employed,755
A-00163,70,52356.56,South,Employed,723
A-00164,20,52954.78,East,Self-Employed,601
A-00165,56,49747.04,East,Employed,756
A-00166,25,63708.93,North,Employed,646
A-00167,65,56628.19,North,Self-Employed,673
A-00168,38,68450.64,North,Employed,753
A-00169,37,47320.46,North,Self-Employed,592
A-00170,58,100783.67,East,Retired,629
A-00171,68,12000,East,Employed,782
A-00172,44,19054.58,North,Unemployed,700
A-00173,41,52861.26,East,Employed,679
A-00174,35,76808.12,North,Self-Employed,801
A-00175,43,65896.97,North,Employed,706
A-00176,21,24211.92,South,Unemployed,838
A-00177,36,92262.14,North,Unemployed,703
A-00178,46,37528.7,North,Employed,726
A-00179,33,69614.67,West,Employed,705
A-00180,23,46996.42,East,Employed,723
A-00181,52,63393.95,East,Employed,665
A-00182,46,12000,South,Employed,729
A-00183,25,21219.71,North,Employed,659
A-00184,45,78705.46,South,Employed,624
A-00185,60,19468.21,North,Self-Employed,777
A-00186,71,50710.51,West,Unemployed,626
A-00187,26,74186.38,East,Employed,825
A-00188,28,89972.82,East,Employed,696
A-00189,38,54481.05,West,Employed,619
A-00190,48,62675.91,North,Employed,694
A-00191,50,59560.93,South,Employed,649
A-00192,69,48081.12,East,Employed,724
A-00193,60,30820.71,North,Employed,641
A-00194,39,57242.17,West,Employed,672
A-00195,39,33565.74,East,Employed,695
A-00196,68,81178.02,South,Unemployed,655
A-00197,42,58609.0,East,Employed,561
A-00198,31,50504.18,East,Unemployed,567
A-00199,20,51490.0,West,Unemployed,632
A-00200,62,43032.78,North,Self-Employed,722
A-00201,75,77906.32,North,Employed,630
A-00202,66,38637.75,North,Employed,697
A-00203,59,62949.5,East,Unemployed,716
A-00204,34,55920.1,West,Employed,831
A-00205,23,50018.17,North,Employed,760
A-00206,48,36759.8,East,Employed,736
A-00207,43,22640.25,South,Employed,824
A-00208,35,60385.42,South,Employed,577
A-00209,43,41264.48,North,Employed,635
A-00210,61,54731.69,South,Employed,677
A-00211,47,60503.0,East,Employed,620
A-00212,37,24608.22,North,Employed,664
A-00213,41,40845.06,North,Employed,736
A-00214,22,76544.28,North,Self-Employed,656
A-00215,27,62175.27,North,Employed,676
A-00216,58,16070.07,East,Self-Employed,639
A-00217,58,49362.51,East,Self-Employed,633
A-00218,23,67955.58,South,Employed,632
A-00219,60,49936.07,North,Employed,724
A-00220,28,32374.8,North,Retired,696
A-00221,46,32670.28,North,Employed,636
A-00222,47,47205.44,East,Employed,699
A-00223,33,65199.84,East,Employed,615
A-00224,32,70306.07,East,Employed,694
A-00225,75,29260.57,East,Employed,768
A-00226,68,15758.59,South,Employed,658
A-00227,59,43333.75,West,Self-Employed,632
A-00228,20,63877.88,South,Employed,648
A-00229,34,66023.88,East,Employed,687
A-00230,53,51663.24,South,Employed,807
A-00231,46,62870.95,North,Employed,793
A-00232,24,29068.05,East,Employed,676
A-00233,48,63081.41,North,Retired,634
A-00234,71,53320.72,East,Employed,772
A-00235,18,16811.69,West,Employed,661
A-00236,73,15029.19,North,Self-Employed,633
A-00237,40,29516.79,East,Retired,641
A-00238,34,76688.24,North,Employed,628
A-00239,30,42757.37,South,Employed,714
A-00240,71,70759.08,East,Employed,560
A-00241,67,48902.59,West,Employed,797
A-00242,58,56158.62,North,Retired,684
A-00243,33,45865.66,North,Employed,573
A-00244,49,57393.09,South,Employed,707
A-00245,59,29606.54,East,Employed,643
A-00246,60,35083.93,North,Employed,697
A-00247,26,76043.81,North,Unemployed,616
A-00248,65,41210.44,South,Self-Employed,733
A-00249,30,86955.93,North,Unemployed,635
A-00250,30,36737.08,South,Employed,799
A-00251,47,40198.96,North,Employed,794
A-00252,50,76587.62,East,Employed,747
A-00253,73,46606.42,West,Employed,614
A-00254,21,37753.29,South,Unemployed,590
A-00255,67,58170.26,South,Employed,534
A-00256,65,31505.02,North,Unemployed,710
A-00257,30,61898.03,North,Employed,682
A-00258,34,12000,North,Employed,675
A-00259,37,62362.71,North,Employed,723
A-00260,37,54293.13,West,Employed,602
A-00261,68,55055.65,South,Retired,593
A-00262,25,58558.52,West,Employed,781
A-00263,73,74913.71,South,Employed,656
A-00264,27,27816.34,South,Employed,759
A-00265,64,46704.71,South,Retired,665
A-00266,35,23919.51,North,Employed,699
A-00267,62,56385.24,East,Unemployed,741
A-00268,65,41745.47,East,Retired,569
A-00269,55,25411.84,South,Employed,558
A-00270,30,48671.11,South,Employed,539
A-00271,28,42854.13,South,Self-Employed,534
A-00272,43,31877.13,South,Unemployed,737
A-00273,71,53135.65,East,Employed,685
A-00274,59,49451.64,North,Unemployed,707
A-00275,42,64151.92,North,Employed,621
A-00276,56,60699.05,North,Employed,686
A-00277,34,36669.4,North,Employed,625
A-00278,50,20719.15,North,Self-Employed,626
A-00279,62,75746.84,North,Unemployed,597
A-00280,47,73050.15,South,Employed,643
A-00281,62,33786.78,East,Employed,582
A-00282,56,61572.06,South,Employed,635
A-00283,50,36387.34,East,Self-Employed,688
A-00284,68,57673.45,East,Employed,582
A-00285,60,48909.32,South,Employed,690
A-00286,22,57560.45,North,Employed,847
A-00287,32,54283.65,South,Self-Employed,713
A-00288,57,22660.51,East,Employed,674
A-00289,67,40122.55,North,Employed,790
A-00290,41,21451.08,South,Employed,698
A-00291,36,64682.74,North,Employed,669
A-00292,34,59887.26,North,Employed,753
A-00293,72,41437.01,North,Retired,589
A-00294,51,12000,West,Employed,705
A-00295,55,52273.24,North,Employed,590
A-00296,46,70151.09,South,Self-Employed,768
A-00297,75,75687.65,East,Employed,722
A-00298,31,25270.94,South,Self-Employed,614
A-00299,33,49866.77,South,Employed,651
A-00300,60,32322.01,North,Unemployed,662
A-00301,24,58524.91,North,Employed,752
A-00302,34,57478.69,West,Unemployed,640
A-00303,28,27654.87,North,Employed,784
A-00304,71,47843.08,East,Employed,654
A-00305,40,56928.66,North,Unemployed,832
A-00306,26,31464.98,West,Self-Employed,745
A-00307,21,50249.9,South,Employed,718
A-00308,54,44711.46,East,Employed,679
A-00309,61,36566.87,South,Employed,563
A-00310,34,49963.3,South,Unemployed,662
A-00311,58,78662.87,South,Retired,606
A-00312,63,67046.83,North,Retired,608
A-00313,45,70999.51,North,Self-Employed,587
A-00314,68,72069.09,South,Self-Employed,714
A-00315,43,36268.37,East,Employed,806
A-00316,75,43859.41,North,Employed,668
A-00317,75,51004.74,North,Employed,690
A-00318,27,70128.13,South,Retired,579
A-00319,42,68786.73,North,Employed,805
A-00320,44,61287.81,North,Employed,554
