customer_id,age,income,region,employment_status,credit_score
B-00066,69,48277.83,North,Employed,679
B-00067,19,43657.3,North,Employed,637
B-00068,69,62483.31,East,Self-Employed,742
B-00069,44,61100.36,North,Employed,703
B-00070,61,67991.84,East,Unemployed,645
B-00071,60,73490.97,South,Employed,654
B-00072,49,58305.87,North,Retired,614
B-00073,31,50052.88,South,Employed,637
B-00074,63,60082.81,South,Employed,779
B-00075,34,60662.03,West,Unemployed,625
B-00076,71,48653.67,West,Employed,631
B-00077,39,59543.94,East,Retired,675
B-00078,58,55211.1,East,Retired,545
B-00079,55,60617.63,North,Employed,647
B-00080,68,49156.6,West,Employed,595
B-00081,65,79527.39,East,Retired,689
B-00082,55,50624.69,West,Employed,711
B-00083,47,75937.31,South,Self-Employed,601
B-00084,43,82873.87,North,Employed,677
B-00085,66,60868.93,East,Employed,721
B-00086,31,95433.31,South,Unemployed,707
B-00087,62,63352.84,North,Employed,613
B-00088,70,42153.64,South,Unemployed,658
B-00089,30,63522.64,North,Employed,746
B-00090,26,42074.78,West,Self-Employed,683
B-00091,63,45201.54,South,Unemployed,688
B-00092,64,61199.84,East,Employed,714
B-00093,62,63712.06,North,Self-Employed,626
B-00094,30,64739.6,South,Employed,720
B-00095,47,42908.37,East,Unemployed,511
B-00096,57,44550.37,South,Employed,568
B-00097,30,53537.41,North,Employed,763
B-00098,40,56502.12,East,Self-Employed,715
B-00099,59,55635.99,West,Retired,680
B-00100,72,57639.92,North,Employed,640
B-00101,28,43470.32,East,Employed,626
B-00102,29,70459.93,South,Unemployed,705
B-00103,29,38825.15,South,Self-Employed,687
B-00104,26,42318.47,North,Unemployed,575
B-00105,33,58465.46,East,Employed,850
B-00106,64,66162.97,South,Self-Employed,681
B-00107,33,63763.11,West,Self-Employed,603
B-00108,43,78988.85,East,Unemployed,536
B-00109,29,16166.23,West,Employed,611
B-00110,43,55614.1,South,Self-Employed,710
B-00111,23,28606.47,North,Employed,734
B-00112,33,68296.22,West,Retired,718
B-00113,66,48725.37,East,Employed,670
B-00114,36,56431.97,North,Employed,698
B-00115,72,38296.48,North,Employed,850
B-00116,39,94425.6,West,Employed,726
B-00117,53,70238.36,South,Employed,621
B-00118,28,75766.86,South,Unemployed,768
B-00119,39,72070.01,North,Self-Employed,605
B-00120,71,61175.06,North,Retired,701
B-00121,63,52907.29,West,Employed,735
B-00122,38,70855.25,South,Employed,734
B-00123,61,35395.5,North,Employed,759
B-00124,66,42131.82,West,Retired,606
B-00125,60,45824.85,East,Self-Employed,633
B-00126,31,86572.42,North,Self-Employed,702
B-00127,22,63100.71,South,Self-Employed,707
B-00128,45,68068.15,East,Employed,766
B-00129,45,71425.01,South,Self-Employed,707
B-00130,62,61051.24,North,Unemployed,747
B-00131,51,30779.5,East,Employed,699
B-00132,38,50027.55,East,Employed,625
B-00133,26,58274.99,East,Employed,658
B-00134,51,52322.17,North,Employed,673
B-00135,36,41758.35,South,Retired,623
B-00136,23,28666.23,North,Unemployed,622
B-00137,68,95291.84,South,Employed,698
B-00138,59,60526.16,North,Unemployed,713
B-00139,18,72642.16,North,Employed,691
B-00140,32,78352.74,West,Unemployed,658
B-00141,25,15027.09,West,Employed,675
B-00142,37,47996.45,North,Retired,637
B-00143,50,12000,East,Employed,599
B-00144,18,57657.14,South,Self-Employed,635
B-00145,65,51118.97,North,Employed,841
B-00146,65,57062.96,East,Employed,720
B-00147,53,37272.1,West,Retired,678
B-00148,73,65583.38,North,Employed,713
B-00149,34,63567.8,East,Employed,639
B-00150,56,34394.65,South,Employed,718
B-00151,39,66978.2,West,Employed,739
B-00152,48,72421.9,South,Self-Employed,756
B-00153,73,54501.39,North,Employed,556
B-00154,71,47639.1,North,Employed,698
B-00155,41,68293.9,South,Employed,676
B-00156,45,29319.23,North,Employed,776
B-00157,41,76338.83,South,Employed,686
B-00158,21,69872.91,West,Employed,692
B-00159,62,57403.64,East,Self-Employed,659
B-00160,64,35619.78,East,Employed,721
B-00161,26,59014.08,West,Self-Employed,727
B-00162,32,47047.5,North,Self-Employed,577
B-00163,46,50447.08,East,Employed,678
B-00164,44,26629.42,South,Employed,693
B-00165,27,51448.28,North,Employed,582
B-00166,55,100269.24,South,Unemployed,730
B-00167,30,36067.86,West,Unemployed,606
B-00168,30,57426.27,East,Employed,598
B-00169,28,75126.15,North,Employed,592
B-00170,39,50147.08,West,Employed,533
B-00171,64,42905.19,North,Employed,690
B-00172,26,63051.36,North,Employed,584
B-00173,28,50888.94,East,Employed,664
B-00174,66,45556.91,East,Employed,724
B-00175,63,74113.63,West,Employed,703
B-00176,54,43126.66,South,Employed,688
B-00177,70,54753.23,East,Employed,670
B-00178,56,38572.93,East,Retired,734
B-00179,26,50131.64,South,Employed,661
B-00180,25,47938.58,North,Employed,699
B-00181,53,46646.82,North,Employed,704
B-00182,36,48359.4,South,Employed,668
B-00183,65,90280.94,North,Employed,744
B-00184,48,77061.91,North,Employed,573
B-00185,56,67792.8,West,Employed,620
B-00186,25,79925.99,South,Employed,557
B-00187,60,25162.69,North,Employed,689
B-00188,22,80073.69,West,Employed,689
B-00189,40,62411.86,West,Employed,583
B-00190,49,75347.84,North,Employed,619
B-00191,74,68727.44,East,Self-Employed,697
B-00192,39,71832.59,South,Employed,772
B-00193,51,26648.5,East,Employed,562
B-00194,39,60246.73,West,Employed,641
B-00195,54,81304.9,East,Unemployed,806
B-00196,57,32611.29,North,Self-Employed,658
B-00197,28,69212.13,East,Self-Employed,627
B-00198,41,67240.32,East,Self-Employed,611
B-00199,59,53631.71,North,Employed,620
B-00200,60,58492.71,East,Unemployed,802
B-00201,53,60533.86,North,Self-Employed,533
B-00202,30,27677.32,North,Employed,590
B-00203,75,53298.37,South,Employed,754
B-00204,26,33008.84,North,Retired,720
B-00205,72,78957.38,West,Self-Employed,684
B-00206,68,72573.1,East,Employed,721
B-00207,65,54391.41,West,Employed,574
B-00208,26,13027.0,West,Unemployed,782
B-00209,39,50650.61,North,Employed,688
B-00210,69,66145.88,South,Retired,750
B-00211,69,36385.91,South,Employed,617
B-00212,30,42705.83,South,Employed,673
B-00213,32,28475.41,North,Unemployed,720
B-00214,75,50098.46,East,Employed,613
B-00215,27,61348.99,West,Employed,634
B-00216,75,43900.85,West,Self-Employed,645
B-00217,68,14645.11,South,Retired,710
B-00218,35,58639.19,South,Self-Employed,722
B-00219,26,90172.99,North,Self-Employed,589
B-00220,53,62176.38,East,Self-Employed,603
B-00221,40,43138.89,East,Employed,675
B-00222,33,89145.39,East,Retired,657
B-00223,64,35202.66,South,Employed,623
B-00224,54,67830.01,East,Employed,746
B-00225,59,46190.35,West,Employed,558
B-00226,48,56017.47,North,Unemployed,726
B-00227,25,76589.85,North,Self-Employed,722
B-00228,22,46163.28,North,Self-Employed,567
B-00229,19,44498.97,West,Employed,766
B-00230,46,70057.75,East,Employed,780
B-00231,37,69207.15,West,Retired,641
B-00232,31,61666.83,North,Employed,665
B-00233,34,74136.61,West,Employed,713
B-00234,38,53943.07,South,Employed,709
B-00235,28,55926.65,North,Employed,636
B-00236,58,60175.69,North,Self-Employed,656
B-00237,36,45693.36,West,Employed,660
B-00238,48,73072.85,North,Unemployed,797
B-00239,61,95641.51,East,Self-Employed,720
B-00240,69,52371.06,West,Employed,607
B-00241,61,48785.11,North,Employed,645
B-00242,55,28753.63,East,Employed,617
B-00243,72,39589.91,West,Employed,578
B-00244,22,59482.12,West,Employed,652
B-00245,70,66662.68,North,Self-Employed,699
B-00246,52,63308.4,East,Retired,507
B-00247,71,64288.73,West,Employed,689
B-00248,52,62809.69,North,Employed,736
B-00249,42,39752.69,East,Self-Employed,602
B-00250,47,72625.87,West,Employed,650
B-00251,52,54941.76,North,Employed,620
B-00252,65,53398.02,West,Retired,688
B-00253,67,76322.74,North,Employed,579
B-00254,61,42796.3,North,Retired,613
B-00255,43,98314.2,South,Employed,546
B-00256,54,69807.84,North,Employed,603
B-00257,62,61051.4,North,Employed,758
B-00258,34,72196.72,South,Employed,662
B-00259,18,47714.85,North,Employed,706
B-00260,55,66914.27,North,Employed,715
B-00261,22,58268.6,North,Unemployed,818
B-00262,71,52903.21,East,Retired,825
B-00263,20,47088.61,North,Unemployed,708
B-00264,74,75424.97,South,Employed,618
B-00265,40,43586.93,East,Employed,653
B-00266,34,71754.16,South,Self-Employed,693
B-00267,39,25699.58,East,Employed,654
B-00268,33,78461.55,South,Employed,754
B-00269,54,36567.82,South,Self-Employed,669
B-00270,24,45103.1,North,Employed,621
B-00271,19,26395.26,South,Employed,714
B-00272,21,67907.37,West,Employed,741
B-00273,32,54364.26,North,Employed,677
B-00274,32,46812.36,South,Unemployed,683
B-00275,40,42486.3,West,Employed,667
B-00276,43,64279.1,North,Employed,644
B-00277,28,30559.7,South,Unemployed,670
B-00278,32,56185.45,West,Unemployed,682
B-00279,64,86888.52,North,Employed,692
B-00280,51,87938.63,North,Employed,786
